Row ID,Order Priority,Discount,Unit Price,Customer ID,Customer Name,Customer Segment,Product Category,Product Sub-Category,Product Name,City,Order Weekday,Weekday helper,Profit,Quantity ordered new,Sales,Order ID,Order returned,Order Date,,,
18818,High,0.01,80.48,191,Gerald Kearney,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Krakow,Thursday,4.00,-35.4744,1,79.68,89092,FALSE,2015-02-12,,,
20520,Not Specified,0.05,3.8,191,Gerald Kearney,Corporate,Office Supplies,Binders and Binder Accessories,Durable Pressboard Binders,Krakow,Thursday,4.00,14.467,14,53.26,89093,FALSE,2015-04-09,,,
20521,Not Specified,0.09,30.73,191,Gerald Kearney,Corporate,Technology,Computer Peripherals,Fellowes 17-key keypad for PS/2 interface,Krakow,Thursday,4.00,-99.9864,7,203.49,89093,FALSE,2015-04-09,,,
20522,Not Specified,0,125.99,191,Gerald Kearney,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Krakow,Thursday,4.00,1348.59672,22,2356.01,89093,FALSE,2015-04-09,,,
19663,Not Specified,0,213.45,193,Danny Hong,Corporate,Technology,Office Machines,Panasonic KX-P2130 Dot Matrix Printer,Warsaw,Saturday,6.00,-560.81418,1,224.12,90430,FALSE,2015-01-03,,,
20645,Medium,0.07,6.54,193,Danny Hong,Corporate,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Warsaw,Monday,1.00,-66.0445,21,140.3,90432,FALSE,2015-03-30,,,
24273,Not Specified,0.02,6.48,194,Tammy Goldman,Corporate,Office Supplies,Paper,Xerox 1996,Warsaw,Saturday,6.00,-105.6852,4,28.2,90431,FALSE,2015-01-10,,,
20646,Medium,0.09,3.29,194,Tammy Goldman,Corporate,Office Supplies,Rubber Bands,Acco® Hot Clips™ Clips to Go,Warsaw,Monday,1.00,15.66,23,71.55,90432,FALSE,2015-03-30,,,
25158,Critical,0,161.55,197,Samantha Weaver,Small Business,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,Krakow,Thursday,4.00,1167.158,19,3108.98,88921,FALSE,2015-04-02,,,
7158,Critical,0,161.55,198,Leroy Blanchard,Small Business,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,Krakow,Thursday,4.00,1014.92,77,12599.55,51072,FALSE,2015-04-02,,,
22136,Not Specified,0.09,12.28,202,Max Small,Corporate,Office Supplies,Paper,Xerox 1933,Krakow,Monday,1.00,1.73,3,34.65,88971,FALSE,2015-04-27,,,
18783,High,0.03,7.37,202,Max Small,Corporate,Technology,Computer Peripherals,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Krakow,Friday,5.00,-133.7,11,85.79,88972,FALSE,2015-01-16,,,
21401,Low,0.05,1.86,210,Floyd Dale,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Lodz,Saturday,6.00,-66.62,9,17.61,85965,FALSE,2015-01-17,,,
23097,Medium,0.09,5.4,210,Floyd Dale,Home Office,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Lodz,Tuesday,2.00,-21.48775,4,27.3,85966,FALSE,2015-06-02,,,
23098,Medium,0.02,20.28,210,Floyd Dale,Home Office,Furniture,Office Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",Lodz,Tuesday,2.00,44.6775,3,64.75,85966,FALSE,2015-06-02,,,
23099,Medium,0,11.55,210,Floyd Dale,Home Office,Office Supplies,Pens & Art Supplies,Newell 309,Lodz,Tuesday,2.00,23.595,5,62.98,85966,FALSE,2015-06-02,,,
23605,Medium,0.01,10.06,211,Anna Wood,Consumer,Office Supplies,Paper,Riverleaf Stik-Withit® Designer Note Cubes®,Lodz,Tuesday,2.00,7.59,2,21.2,85964,FALSE,2015-01-06,,,
23606,Medium,0,65.99,211,Anna Wood,Consumer,Technology,Telephones and Communication,252,Lodz,Tuesday,2.00,-107.987,3,173.32,85964,FALSE,2015-01-06,,,
23100,Medium,0.05,2.08,211,Anna Wood,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Lodz,Tuesday,2.00,-36.25,20,42.29,85966,FALSE,2015-06-02,,,
26303,Medium,0.05,119.99,218,Frances Saunders,Consumer,Technology,Office Machines,Hewlett-Packard 2600DN Business Color Inkjet Printer,Warsaw,Tuesday,2.00,-102.5121,6,730.37,88048,FALSE,2015-06-09,,,
21203,Medium,0.03,60.89,228,Colleen Andrews,Small Business,Furniture,Chairs & Chairmats,"Global Push Button Manager's Chair, Indigo",Wroclaw,Thursday,4.00,36.354,7,450.49,88527,FALSE,2015-04-02,,,
25500,Medium,0.07,5.81,233,Michele Bullard,Small Business,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Krakow,Friday,5.00,-243.2365,10,58.8,90237,FALSE,2015-02-20,,,
25501,Medium,0.04,9.65,233,Michele Bullard,Small Business,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Krakow,Friday,5.00,-53.62,12,120.47,90237,FALSE,2015-02-20,,,
23058,Critical,0.06,279.81,234,Don Cameron,Small Business,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Krakow,Thursday,4.00,1103.9724,6,1599.96,90236,FALSE,2015-02-05,,,
